State_code,District_code,Subdistrict_code,Subdistrict_name,Number of households_total,population_total,Area_total,population density_total,State_name,District_name,Household density,% Rural Population,% Rural Households,% Rural Area,fiber_length_km,fiber_per_sqkm
3,41,227,Ludhiana (East),407387,1934225,634.0,3051.0,PUNJAB,Ludhiana,642.5662460567823,14.459951660225672,13.681339856205524,73.16246056782335,415.4113,0.6552
3,41,228,Ludhiana (West),72514,362602,543.0,668.0,PUNJAB,Ludhiana,133.54327808471456,75.14823415204549,74.86554320544998,91.67034990791898,957.142,1.7627
3,41,229,Raikot,39995,201451,482.8949077797957,417.0,PUNJAB,Ludhiana,82.82340392423039,77.07978615147107,76.2745343167896,93.01297250055372,281.7844,0.5835
3,41,230,Jagraon,67059,341234,784.3389979789472,435.0,PUNJAB,Ludhiana,85.49747006434067,80.88115486733443,80.26215720484946,98.21505751517203,319.7285,0.4076
3,42,231,Nihal Singhwala,32836,170609,421.0393169064392,405.0,PUNJAB,Moga,77.98796616254396,96.02248415968675,96.01352174442684,99.19247446414715,23.072,0.0548
3,42,233,Moga,117438,599488,1234.515015843214,486.0,PUNJAB,Moga,95.12885505065,67.42987349204654,66.08082562713943,96.7396103341434,244.5144,0.1981
3,43,234,Zira,48132,258438,739.9692359652018,349.0,PUNJAB,Firozpur,65.04594739971525,73.55690726595934,72.83927532618632,94.66599446549746,574.0873,0.7758
3,43,235,Firozpur,108238,567191,1293.0604713666817,439.0,PUNJAB,Firozpur,83.70683536988754,64.74979327951255,63.250429608825,96.44254843306896,930.5339,0.7196
3,43,236,Jalalabad,67584,356027,909.997920910698,391.0,PUNJAB,Firozpur,74.26830154992443,84.06946664157495,83.22975852272727,98.89999748680938,16.8382,0.0185
3,43,236,Jalalabad,67584,356027,909.997920910698,391.0,PUNJAB,Firozpur,74.26830154992443,84.06946664157495,83.22975852272727,98.89999748680938,97.2425,0.1069
3,43,237,Fazilka,78104,404152,1153.2339771629686,350.0,PUNJAB,Firozpur,67.72606560911514,79.64577683643778,79.22129468401107,98.26314517290974,108.5109,0.0941
3,43,238,Abohar,83936,443266,1208.730891720783,367.0,PUNJAB,Firozpur,69.44142867111337,67.22013418579364,65.90974075486085,98.09138658091572,38.6489,0.032
3,44,239,Malout,66991,348165,1054.6323085184442,330.0,PUNJAB,Muktsar,63.52071661270219,76.6185572932374,75.98931199713394,98.76734290283004,1.9412,0.0018
3,44,241,Muktsar,64781,330794,884.5787992811106,374.0,PUNJAB,Muktsar,73.2337244038032,62.08667630005381,61.00862907333941,95.72677979274208,31.3735,0.0355
3,45,242,Faridkot,89912,456578,1053.4788569012403,433.0,PUNJAB,Faridkot,85.34770243464783,60.64768779923693,58.92094492392561,96.6406539848272,39.4154,0.0374
3,45,243,Jaitu,30981,160930,404.51763899194816,398.0,PUNJAB,Faridkot,76.58751316062306,76.77437395140745,76.66311610341823,97.62680311693624,10.633,0.0263
3,46,244,Rampura Phul,60639,316669,881.926443944245,359.0,PUNJAB,Bathinda,68.75743483640635,79.31909975400181,78.88982338099242,96.54052781731434,348.386,0.395
3,46,245,Bathinda,151247,755926,1511.9819566419774,500.0,PUNJAB,Bathinda,100.03227838506132,52.54350293547252,50.2257896024384,93.81540238696498,745.2335,0.4929
3,46,246,Talwandi Sabo,62016,315930,959.0864597817036,329.0,PUNJAB,Bathinda,64.66153219816634,76.26341278131231,76.57539989680082,96.34339535895624,506.7878,0.5284
3,47,247,Sardulgarh,33635,174234,590.3025711687894,295.0,PUNJAB,Mansa,56.97925376371519,88.96943191340382,88.92522669837966,98.64476280627406,271.1724,0.4594
3,47,248,Budhlada,49290,254706,712.9864025006201,357.0,PUNJAB,Mansa,69.13175318228755,82.88065455858911,82.70440251572327,98.59744870800796,274.5321,0.385
3,47,249,Mansa,66705,340811,894.713888881179,381.0,PUNJAB,Mansa,74.55455965192762,70.42906478957546,69.79536766359344,96.572088532307,468.4863,0.5236
3,48,250,Samana,34200,173970,420.02164408411016,414.0,PUNJAB,Patiala,81.4243753427892,68.9187790998448,68.26608187134504,98.6905436713879,262.8104,0.6257
3,48,251,Patran,36526,193683,405.4444957646037,478.0,PUNJAB,Patiala,90.08878004649634,80.31577371271614,79.70212998959644,97.7802140381688,191.1419,0.4714
